0, 230 380 551 656 597 627 420 263 597 371;
1, 2151 1829 1578 1759 1149 1031 1011 1424 1306 1532;
2, 3177 2624 2583 2566 2644 2635 2556 2300 2654 1818;
3, 279 428 555 789 768 768 460 343 630 492;
4, 2298 1831 1703 140 1023 1012 1023 1500 1395 1501;
5, 2915 2500 2500 2532 2617 2543 2724 2500 2511 1980;
6, 257 598 661 828 820 677 542 439 661 590;
7, 2915 2177 1955 1875 1234 1328 1344 1590 1415 1582;
8, 3573 3121 3034 2804 2748 2756 2836 2669 2859 1947;
9, 344 455 724 859 836 867 550 383 685 502;
10, 2820 2304 1987 1788 1177 1257 1423 1653 1526 1685;
11, 3200 2970 2883 2582 2673 2724 2732 2701 2764 2058;
12, 285 574 825 1066 883 960 671 439 835 622;
13, 2870 2127 1973 1770 1182 1317 1481 1770 1635 1674;
14, 3265 3072 3072 2889 2696 2976 3043 2860 3024 1983;
15, 320 534.5 756.7 915.4 899.5 740.8 613.9 352 724.9 479;
16, 3224 2391 2066 2129 1534 1138 1407 1653 1653 1725;
17, 3692 3137 3042 3169 3137 3296 3097 2915 2947 1804;
18, 340 538 669 840 788 748 617 393 695 564;
19, 2880 2222 2038 1867 1196 1196 1485 1919 1577 1669;
20, 3143 3064 3077 2682 2538 2656 2959 2564 2880 1998;
21, 343.2 555.4 786.8 1124 680 960.4 372.2 439.7 593.9 410.7;
22, 3072 2494 2118 1722 1153 1433 1211 1828 2195 1529;
23, 3632 3294 3111 3275 2677 2706 2687 2831 3111 2021;
